,Case,Beam Type,Method,n,L/h,k,result
15,148,S-S FG,TSDBT,,10,0.0,2.818
3,82,S-S FG,TSDBT,,10,0.2,5.0566
36,169,S-S FG,TSDBT,,10,0.3,2.749
542,785,S-S FG,TSDBT,,20,0.0,5.4606
543,786,S-S FG,TSDBT,,20,0.2,5.1147
544,787,S-S FG,TSDBT,,20,0.5,4.7884
545,788,S-S FG,TSDBT,,20,1.0,4.5024
546,789,S-S FG,TSDBT,,20,2.0,4.2682
547,790,S-S FG,TSDBT,,20,5.0,4.0063
548,791,S-S FG,TSDBT,,20,10.0,3.7386
22,155,S-S FG,TSDBT,,30,0.0,2.846
43,176,S-S FG,TSDBT,,30,0.3,2.775
29,162,S-S FG,TSDBT,,100,0.0,2.849
50,183,S-S FG,TSDBT,,100,0.3,2.779
